# Date	rho	rho_err	PA	PA_err
1998.49	4.170	0.033	166.95	0.36
2000.31	4.107	0.057	166.90	0.42
2000.38	4.310	0.270	165.8	6.7
2004.33	4.189	0.020	167.32	0.22
2004.33	4.200	0.017	166.85	0.22
2004.34	4.199	0.036	167.02	0.22
2004.34	4.195	0.017	166.97	0.22
2006.43	4.170	0.110	167.2	1.4
2007.75	4.212	0.033	167.42	0.35
2008.31	4.214	0.017	166.81	0.22
2008.60	4.195	0.017	166.87	0.29
2008.60	4.194	0.016	166.20	0.29
2009.27	4.175	0.09	167.6	0.2
2009.35	4.239	0.104	168.5	1.3
2009.50	4.199	0.031	166.99	0.230

# Data comes from Blunt, Nielsen, De Rosa et al. 2017 paper Table 9
# https://iopscience.iop.org/article/10.3847/1538-3881/aa6930
