# Date	rho	rho_err	PA	PA_err
2002.57	0.767	0.030	246.2	1.0
2003.84	0.766	0.030	245.6	1.0
2005.98	0.760	0.030	244.7	1.0
2008.50	0.804	0.060	245.3	2.0
2010.71	0.769	0.060	242.8	2.0
2010.83	0.780	0.025	244.3	0.2
2010.89	0.780	0.025	244.5	0.2
2010.90	0.773	0.020	244.9	0.5
2011.52	0.784	0.030	244.0	1.0
2011.67	0.777	0.030	244.9	1.0
2011.80	0.770	0.030	244.5	0.2
2011.85	0.781	0.030	244.4	1.0
2014.62	0.78087	0.00106	244.25	0.13
2014.62	0.78097	0.00047	243.89	0.21
				
# Data comes from Blunt, Nielsen, De Rosa et al. 2017 paper Table 3
# https://iopscience.iop.org/article/10.3847/1538-3881/aa6930
