# Date	rho	rho_err	PA	PA_err	
2002.57	5.167	0.030	351.0	0.5
2002.74	5.167	0.035	349.8	0.5
2002.87	5.220	0.035	349.6	0.5
2003.53	5.185	0.035	349.5	0.5
2003.64	5.180	0.035	349.7	0.5
2003.84	5.155	0.030	350.2	0.5
2003.86	5.179	0.035	349.6	0.5
2005.98	5.145	0.030	350.4	0.5
2007.90	5.080	0.070	349.4	0.5
2008.50	5.155	0.030	349.7	0.5
2010.71	5.146	0.030	349.4	0.5
2010.83	5.150	0.025	349.8	0.2
2010.89	5.160	0.030	349.6	0.2
2010.90	5.137	0.020	349.9	0.5
2011.52	5.142	0.030	349.4	0.5
2011.67	5.140	0.030	349.5	0.5
2011.76	5.119	0.070	349.2	0.5
2011.80	5.160	0.030	349.6	0.2
2011.85	5.140	0.030	349.4	0.5
2014.62	5.14975	0.00269	349.17	0.10

# Data comes from Blunt, Nielsen, De Rosa et al. 2017 paper Table 4
# https://iopscience.iop.org/article/10.3847/1538-3881/aa6930
