# HJD		Phase	Va	Va_err	Vb	Vb_err
54732.804	0.977	-46.11	15.9	163.1	8.1
54732.886	0.978	-54.28	17.2	166.6	9.4
54733.796	0.984	-65.71	16.3	187.5	9.1
54733.878	0.985	-71.51	15.8	188.2	8.4
54734.801	0.991	-87.81	15.6	203.4	8.5
54734.889	0.992	-84.40	16.7	203.8	8.7
54735.857	0.999	-80.21	16.9	204.0	9.0
54735.896	0.999	-84.20	16.4	204.0	9.5
54736.794	0.005	-64.47	16.2	180.6	9.0
54736.877	0.006	-61.04	17.1	177.2	9.4
54737.789	0.012	-33.41	19.5	145.1	9.5
54737.872	0.013	-31.65	21.1	141.2	10.5
54738.795	0.019	6.17	27.2	108.9	11.4
54738.879	0.020	2.51	26.9	105.9	10.2
54739.779	0.026	13.86	25.1	85.5	10.8
54739.882	0.027	15.48	23.5	82.6	10.5
54741.853	0.041	27.53	18.1	56.8	9.9
54741.874	0.041	24.18	23.1	58.8	9.7
54755.837	0.138	51.46	22.6	14.5	11.5
54784.806	0.340	59.26	24.4	14.0	10.7
54816.817	0.564	51.84	25.3	18.7	11.2
54818.848	0.578	53.32	24.1	21.8	10.0
54823.841	0.613	50.61	21.1	22.6	11.3
54824.756	0.619	54.19	29.1	24.7	10.4
54841.757	0.738	40.18	17.0	33.2	10.0
54847.760	0.780	36.93	15.0	38.4	11.4
54852.701	0.815	41.04	27.8	37.9	10.4
54852.729	0.815	54.09	50.6	37.3	9.0
54861.712	0.878	26.73	21.8	58.7	10.8
54864.585	0.898	24.12	21.0	68.3	11.0
54865.629	0.905	18.61	22.2	69.8	10.0
54866.592	0.912	17.39	22.0	73.1	9.9
54872.520	0.953	3.01	12.2	110.4	5.7
54875.537	0.974	-40.70	17.8	157.5	8.8
54875.661	0.975	-42.83	18.3	158.6	9.2
54879.643	0.003	-72.54	16.4	191.0	9.0
54880.666	0.010	-43.96	15.1	160.7	7.7
54881.664	0.017	-24.64	25.4	121.0	17.0
54882.626	0.024	18.37	22.5	91.6	11.6
54883.634	0.031	20.08	21.6	71.2	10.1
56235.782	0.473	47.41	3.9		13.3	1.9
56299.742	0.920	17.72	7.9		79.2	2.7
56305.696	0.961	-2.82	4.3		125.9	2.6
56307.693	0.975	-48.15	9.1		156.2	3.6
56311.594	0.002	-75.28	5.9		189.3	3.1
56314.664	0.024	-3.32	6.2		91.3	2.5
56317.652	0.045	27.46	2.6		51.6	2.5
56320.674	0.066	38.59	4.7		33.0	2.3
56323.667	0.087	46.47	6.1		21.8	2.2
56325.607	0.100	47.96	4.4		19.0	2.0
57408.586	0.663	46.30	6.2		23.2	1.8
57432.602	0.831	32.63	3.7		47.5	2.9
57449.593	0.949	-9.07	9.7		105.3	2.7
57450.630	0.957	-25.75	6.0		116.7	2.2
57458.571	0.012	-36.12	10.1	143.7	2.9
57459.546	0.019	-19.76	7.3		110.3	3.0
57460.536	0.026	18.06	6.8		84.6	2.4
57461.553	0.033	21.06	6.4		70.3	3.1
57462.559	0.040	23.98	6.1		59.3	3.4
57472.526	0.110	49.28	3.0		17.0	2.0
57475.480	0.130	51.03	5.8		14.8	2.7

# Data comes from Schaefer et al. 2018 paper Table 8
# https://arxiv.org/pdf/1610.01984.pdf
