# Date		rho    rho_err	 PA	PA_err		
2005.3301	42.4   0.7	 81.1   1.7		
2006.3411	69.2   0.9	112.2   0.7		
2006.3411	70.5   1.4	112.2   0.7		
2006.3411	70.3   0.7	112.2   0.7		
2006.9658	79.8   1.9	124.5   1.4		
2007.1822	80.3   0.5	125.4   0.6		
2007.2288	80.9   0.5	128.1   1.0		
2008.2500	72.2   1.7	142.3   1.2		
2008.8402	55.2   1.0	160.2   2.1	
2008.9740	50.3   0.7	162.4   0.9		
2010.0260	34.4   0.5	234.9   1.1		
2010.0260	33.1   0.6	235.1   1.2		
2010.3877	39.9   0.7	261.0   1.1		
2011.3027	58.9   0.3	297.91  0.29		
2014.3548	54.9   0.9	 97.2   1.0		

# Data comes from Dupuy et al. 2015 paper Table 1
# http://iopscience.iop.org/article/10.1088/0004-637X/805/1/56/meta#apj511879t1
