         1485917 function calls (1462274 primitive calls) in 83.220 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    933/1    0.018    0.000   83.220   83.220 {built-in method builtins.exec}
        1    0.174    0.174   83.220   83.220 Synthetic_credible_all_params.py:10(<module>)
        1    0.992    0.992   82.293   82.293 Synthetic_credible_all_params.py:82(main)
        7   11.602    1.657   56.025    8.004 orbits.py:884(credible_interval)
       42    0.000    0.000   42.835    1.020 fromnumeric.py:54(_wrapfunc)
        7    0.000    0.000   40.981    5.854 fromnumeric.py:942(argsort)
        7   40.981    5.854   40.981    5.854 {method 'argsort' of 'numpy.ndarray' objects}
        1    2.068    2.068   14.387   14.387 orbits.py:727(correct_orbit_likelihood)
        2    2.097    1.049    9.730    4.865 orbits.py:401(Thiele_Innes_optimal)
        3    7.170    2.390    7.170    2.390 orbits.py:38(getE_parallel)
        6    6.728    1.121    6.728    1.121 {method 'normal' of 'mtrand.RandomState' objects}
        2    5.448    2.724    5.681    2.841 orbits.py:173(Campbell_from_Thiele_Innes)
        7    0.000    0.000    1.853    0.265 fromnumeric.py:2252(cumsum)
        7    1.853    0.265    1.853    0.265 {method 'cumsum' of 'numpy.ndarray' objects}
        2    0.550    0.275    1.052    0.526 orbits.py:615(grid_P_e_T)
    20397    0.030    0.000    1.033    0.000 fromnumeric.py:69(_wrapreduction)
       28    0.000    0.000    1.016    0.036 fromnumeric.py:1583(ravel)
       28    1.016    0.036    1.016    0.036 {method 'ravel' of 'numpy.ndarray' objects}
    20442    0.976    0.000    0.976    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    834/6    0.004    0.000    0.961    0.160 <frozen importlib._bootstrap>:978(_find_and_load)
    832/6    0.003    0.000    0.961    0.160 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    798/9    0.003    0.000    0.959    0.107 <frozen importlib._bootstrap>:663(_load_unlocked)
    675/9    0.008    0.000    0.959    0.107 <frozen importlib._bootstrap_external>:722(exec_module)
   1127/9    0.001    0.000    0.959    0.107 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
       66    0.000    0.000    0.826    0.013 fromnumeric.py:1966(sum)
   508/85    0.001    0.000    0.677    0.008 {built-in method builtins.__import__}
4638/1078    0.003    0.000    0.582    0.001 <frozen importlib._bootstrap>:1009(_handle_fromlist)
    20262    0.237    0.000    0.501    0.000 function_base.py:37(linspace)
        4    0.000    0.000    0.285    0.071 __init__.py:3(<module>)
        1    0.000    0.000    0.231    0.231 pyplot.py:19(<module>)
        1    0.000    0.000    0.204    0.204 __init__.py:364(<module>)
        1    0.000    0.000    0.195    0.195 stats.py:158(<module>)
        2    0.000    0.000    0.173    0.086 column.py:3(<module>)
2241/2165    0.027    0.000    0.170    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.163    0.163 distributions.py:8(<module>)
  797/788    0.001    0.000    0.150    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
       22    0.000    0.000    0.150    0.007 __init__.py:1(<module>)
        2    0.001    0.000    0.144    0.072 __init__.py:11(<module>)
      675    0.005    0.000    0.136    0.000 <frozen importlib._bootstrap_external>:793(get_code)
  117/112    0.000    0.000    0.135    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
  117/112    0.130    0.001    0.134    0.001 {built-in method _imp.create_dynamic}
        4    0.126    0.031    0.134    0.033 numeric.py:2551(array_equal)
    20273    0.014    0.000    0.120    0.000 fromnumeric.py:2083(any)
        5    0.000    0.000    0.117    0.023 __init__.py:7(<module>)
        1    0.000    0.000    0.108    0.108 __init__.py:106(<module>)
     2990    0.003    0.000    0.084    0.000 re.py:271(_compile)
        1    0.000    0.000    0.081    0.081 colorbar.py:20(<module>)
      281    0.001    0.000    0.079    0.000 sre_compile.py:759(compile)
        1    0.000    0.000    0.078    0.078 _distn_infrastructure.py:5(<module>)
      7/2    0.000    0.000    0.076    0.038 pyplot.py:177(switch_backend)
    79/77    0.000    0.000    0.076    0.001 __init__.py:870(__getitem__)
      5/3    0.000    0.000    0.076    0.025 __init__.py:109(import_module)
      5/3    0.000    0.000    0.076    0.025 <frozen importlib._bootstrap>:994(_gcd_import)
      675    0.001    0.000    0.075    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
        1    0.000    0.000    0.073    0.073 __init__.py:101(<module>)
        1    0.000    0.000    0.073    0.073 _continuous_distns.py:6(<module>)
      675    0.072    0.000    0.072    0.000 {built-in method marshal.loads}
      205    0.005    0.000    0.070    0.000 inspect.py:714(getmodule)
      204    0.000    0.000    0.070    0.000 re.py:232(compile)
       98    0.002    0.000    0.069    0.001 _distn_infrastructure.py:1497(__init__)
       33    0.000    0.000    0.069    0.002 configuration.py:220(__init__)
      820    0.004    0.000    0.068    0.000 <frozen importlib._bootstrap>:882(_find_spec)
       39    0.000    0.000    0.068    0.002 introspection.py:157(find_current_module)
    20269    0.018    0.000    0.066    0.000 {method 'any' of 'numpy.generic' objects}
      815    0.001    0.000    0.061    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      815    0.002    0.000    0.060    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
     1154    0.008    0.000    0.051    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
       30    0.000    0.000    0.051    0.002 fromnumeric.py:2512(amin)
       28    0.000    0.000    0.050    0.002 fromnumeric.py:2397(amax)
    20269    0.005    0.000    0.047    0.000 _methods.py:42(_any)
    40599    0.009    0.000    0.046    0.000 numeric.py:541(asanyarray)
      112    0.001    0.000    0.045    0.000 _distn_infrastructure.py:704(_construct_doc)
      299    0.018    0.000    0.045    0.000 doccer.py:12(docformat)
      281    0.001    0.000    0.044    0.000 sre_parse.py:919(parse)
        1    0.000    0.000    0.044    0.044 figure.py:12(<module>)
      590    0.001    0.000    0.043    0.000 posixpath.py:391(realpath)
  950/281    0.002    0.000    0.043    0.000 sre_parse.py:417(_parse_sub)
 1147/308    0.015    0.000    0.041    0.000 sre_parse.py:475(_parse)
      128    0.000    0.000    0.041    0.000 core.py:2248(def_unit)
        1    0.000    0.000    0.041    0.041 __init__.py:127(Conf)
        2    0.000    0.000    0.039    0.020 core.py:285(set_enabled_units)
        2    0.000    0.000    0.039    0.020 core.py:154(set_enabled_units)
